"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"Number_of_I_atoms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_F_atoms",0,0,0,0,0,0,1.44444444444444,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,1.26315789473684,0,1.0625,0,0,0
"Number_of_N_atoms",3.68421052631579,0,3.74074074074074,1.51351351351351,0,0,3.44444444444444,1.4,0,1.35294117647059,0,0,0.125,1.5,4.53333333333333,0,4.27272727272727,4.375,0.823529411764706,1,1.42857142857143,0,0.769230769230769,3.62222222222222,0,0,4.78947368421053,1.81818181818182,0,0,4.86666666666667,1.81818181818182
"Number_of_O_atoms",0,2.84210526315789,2.62962962962963,0,1.61904761904762,24.25,3.44444444444444,3,3.38461538461538,3.11764705882353,1.73913043478261,6.2,5.125,2.85714285714286,0,2.22222222222222,0,0,2.52941176470588,6,0,9.8,2.53846153846154,3.2,0,1.7,2.47368421052632,1.27272727272727,5.4375,1.60869565217391,6.06666666666667,0
"Number_of_P_atoms",0,0.0350877192982456,0,0.027027027027027,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,1.5,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0
"Number_of_S_atoms",0,0.456140350877193,0,0,0.0476190476190476,0,0,0,1,0.0588235294117647,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0.130434782608696,1.73333333333333,0
"Number_of_bonds",34.3684210526316,0,0,32.5945945945946,0,200.75,0,33.2,0,0,0,79.96,64.5,50.2142857142857,37.0666666666667,33.2222222222222,55.4090909090909,0,56.2941176470588,25,0,89.7,53.4615384615385,57.1555555555556,0,0,59.1052631578947,0,64.5625,32.6521739130435,50.8666666666667,0
"Number_of_NO2_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_SO_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_OSO_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_SO2_groups",0,0,0,0,0,0,0,0,1.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PolarSurfaceArea",0,81.6463157894737,81.5848148148148,0,51.7404761904762,589.615,92.9577777777778,80.4053333333333,0,74.0352941176471,58.3878260869565,0,90.70875,59.1642857142857,146.595333333333,0,135.087727272727,0,56.1564705882353,0,0,189.939,57.4230769230769,93.5764444444444,79.3273333333333,67.2565,93.8484210526316,33.3554545454545,93.9225,47.4978260869565,208.949333333333,0
"Geometrical_diameter",9.79822790473684,0,12.4061685827778,8.87585879662162,0,23.2963272275,13.5015938488889,10.5224276071333,0,12.7280602276471,0,13.80108039592,0,0,0,9.38158585033333,13.0587962373636,0,0,7.997905166875,0,15.490800825,13.6550003699231,12.2671267466667,0,0,14.1152046247368,10.4034717502273,0,9.48830081386957,0,0
"Geometrical_radius",0,1.0034327745614,0,0,1.02444404433333,0,0,1.00517835006667,0.994837492461538,0.972189998705882,1.00858548156522,0,0.960919667875,1.01258195507143,0.973729556333333,1.040920371,0,1.003253221875,1.00410030611765,0,0,0,0,1.0006012406,0,1.0065085645,1.00756168857895,1.02597902840909,0.969573605625,1.05760344852174,0,1.01242277390909
"Geometrical_shape_coefficient",8.99894900957895,0,0,8.56152379010811,9.14995804242857,0,12.7720393255556,9.46636113433333,0,0,9.1875964186087,0,0,9.64045610642857,9.639368554,8.02970401177778,0,0,10.2398343127647,0,0,15.254300978,0,0,10.4105519453333,10.195686563,13.0160914933158,9.15926788622727,10.9802905045625,7.99851444230435,10.9229538242,9.16903032245455
"Kier_shape_1",15.4846185284211,0,0,14.9424105265405,15.9278955385714,93.22621644,0,15.2935892034,0,17.40547029,15.9626530522174,32.501094334,25.63795504,16.6863467164286,16.4424165013333,14.8302576608889,24.686657155,0,0,14.23016544125,0,37.053037296,0,22.8289221140889,0,16.495684114,26.1262873331579,16.9744641645455,23.05593643125,15.1634033343478,24.2672474566667,0
"Kier_shape_2",6.75643743789474,0,0,6.95684622351351,0,45.223961915,7.76898922622222,6.60675164293333,0,0,7.07662675173913,15.66610584036,13.23998853375,6.36721612321429,6.76842317606667,6.28663510655556,11.2613996731364,0,6.89470138252941,4.531758856625,0,0,0,0,0,7.1738775131,11.9945287484211,7.83678880277273,7.3147297470625,6.15513428095652,10.0378874260667,0
"Zagreb_group_index_1",172.421052631579,0,0,165.351351351351,0,1032.75,252.666666666667,164.733333333333,0,0,0,415.12,333.375,267.571428571429,187.2,165.222222222222,282.409090909091,0,302.764705882353,123.25,0,463.2,274.923076923077,295.044444444444,0,0,296.210526315789,0,351.125,164.782608695652,263.8,0
"Zagreb_group_index_2",181.789473684211,0,0,174.648648648649,0,1153,284.444444444444,180.666666666667,0,225.941176470588,0,440.2,358.125,303.357142857143,208.666666666667,166.333333333333,306.454545454545,0,347.882352941176,132.375,0,499.7,0,322.111111111111,0,0,316.263157894737,0,411.625,180.608695652174,293,0
"abonds",7.10526315789474,11.719298245614,11.6666666666667,3.91891891891892,0,23.75,11.6666666666667,11.3333333333333,14.0769230769231,7.23529411764706,0,0,5.25,0,0,0,15.0434782608696,0,4.70588235294118,1.375,0,0,0,11.8222222222222,0,10.7,18.8421052631579,0,0.3125,0,6.46666666666667,0
"atoms",33.6315789473684,0,0,32.8108108108108,0,196,0,32.4,0,0,0,78.64,63.625,0,35.6666666666667,32.3333333333333,51.9565217391304,0,53.2352941176471,26.25,0,86.2,52.0769230769231,54.6222222222222,0,0,56.2631578947368,0,61.125,31.0434782608696,49.4666666666667,0
"bonds",34.4736842105263,0,0,33.0540540540541,0,202.5,0,33.7333333333333,0,0,0,80.48,64.875,50.2142857142857,37.1333333333333,33.2222222222222,54.1739130434783,0,56.2941176470588,25.25,0,89.7,53.9230769230769,57.2444444444444,0,0,59.1052631578947,0,64.5625,32.6521739130435,51.9333333333333,0
"dbonds",0,1.73684210526316,1.25925925925926,0,1.0952380952381,0,0,0,0,0.411764705882353,0.695652173913043,3.28,0,1.07142857142857,1.33333333333333,0,0,0,0,0,0,4.6,0,0,1.33333333333333,1.35,1.52631578947368,0.863636363636364,4.1875,1.43478260869565,5.26666666666667,3.90909090909091
"HBA1",21.1052631578947,0,0,21.2162162162162,0,125.5,0,17.2,22.5384615384615,0,0,49.64,39.125,0,23.4666666666667,18.3333333333333,0,0,30.7058823529412,19,0,54.1,0,31.6666666666667,0,0,30.2105263157895,0,36.125,14.9130434782609,30.6,0
"HBA2",0,4.96491228070175,0,0,3.9047619047619,36.5,0,4.4,0,4.41176470588235,3.91304347826087,8.76,5.25,4.5,9.4,0,8,0,3.41176470588235,0,0,12.8,3.53846153846154,0,4.6,4.35,0,2.86363636363636,5.5625,3.56521739130435,12.4,0
"HBD",0,1.40350877192982,1.59259259259259,0,1.14285714285714,19.25,1.88888888888889,1.66666666666667,0,0,1.26086956521739,0,0,1,4,1,0,0,0.941176470588235,4.375,1.14285714285714,5,1.30769230769231,1.57777777777778,2.13333333333333,1.6,1.89473684210526,0.636363636363636,2.0625,0.391304347826087,3.4,1.27272727272727
"logP",0.217644210526316,3.85961719298246,3.05615111111111,0.960205405405405,0,0,0,0,4.44548923076923,0,2.75098782608696,3.6789344,3.60295,0,-1.06985333333333,0,3.50201304347826,0,4.44277882352941,-0.3699375,0,0,4.99329230769231,3.31730266666667,3.204732,2.796905,4.93874,3.29704545454545,0,2.81246086956522,0.615773333333333,0
"MR",67.0109210526316,0,108.298088888889,62.076972972973,0,390.621225,101.353377777778,74.3154,0,79.8728470588235,0,145.13696,115.0594875,0,69.36848,69.4204666666667,113.816030434783,0,102.3508,47.6825125,0,169.81814,105.367807692308,112.627766666667,0,0,127.502421052632,0,111.12443125,77.3629043478261,114.232106666667,0
"MW.1",274.226656621053,0,0,250.433491356757,282.284631238095,1510.01257,0,274.576800426667,373.784329969231,284.071730964706,286.951622973913,534.305196424,419.451482,0,298.587255373333,259.299498488889,441.781700573913,0,0,263.613844,0,624.885336,0,409.978230244444,0,306.39251048,472.795299305263,300.072855454545,433.20972215,296.047623478261,455.408225333333,0
"nF",0,0,0,0,0,0,1.44444444444444,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,1.26315789473684,0,1.0625,0,0,0
"sbonds",25.4736842105263,0,0,27.3783783783784,0,165.75,0,20.2,26.6153846153846,0,0,69.16,57.125,41.3571428571429,28.5333333333333,21.1111111111111,0,0,48.7647058823529,22,0,75.3,0,43.3777777777778,0,0,38.5263157894737,0,60.0625,21.3478260869565,40.2,0
"tbonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPSA",0,81.0275438596491,80.527037037037,0,49.7204761904762,582,86.9566666666667,78.896,0,69.4552941176471,55.7960869565217,0,89.6475,57.8942857142857,145.921333333333,0,0,0,55.9194117647059,0,0,188.015,56.0246153846154,93.086,78.366,66.1875,92.9126315789474,31.6009090909091,93.9225,47.3565217391304,205.104,0
"",0.000762059564376769,0.681539686771733,0.172489056301074,0.000485653684908003,0.00952427262969811,0.0154398747581013,0.14880961285125,0.000243940048608626,0.0415577647774867,3.94224192752214e-05,0.00274907468936811,5.37367289546982e-05,0.00587935412163594,0.0953013738039741,0.00140650833168473,0.0179625437222508,0.000379601027330279,0.155086307002072,0.598823847052361,0.00722881984222288,0.292057524618972,0.00866584807138204,0.644908143145809,0.00474905570336594,0.34362512605731,0.0283380948688441,2.55798698776457e-06,0.00178601780998981,6.06003096153009e-06,0.00022160591986061,3.27115401286011e-06,0.936412833964938
"",0.401864126633066,0.421452541967709,NA,0.399541150105776,0.304354768996529,NA,NA,NA,NA,NA,NA,0.803016710553396,NA,NA,NA,0.860981305140604,0.622107134874114,0.834065926222648,NA,0.834065926222648,0.212986824825865,NA,NA,0.411899957518813,0.647478278020797,NA,NA,0.437479180204287,NA,0.858155897796856,0.70175669374848,0.242601825494258
"",1.4528872208998e-05,0.142556890000813,0.0371891047926308,0.000217993636908279,0.542215333668635,0.0120785180119015,0.00332062431178749,0.0276214092405413,0.687210018481711,0.341904118372487,0.575855048036794,2.46160644956175e-07,2.26755941291416e-05,0.0141182456259926,6.45346355424296e-07,0.00311857396415952,0.0116310585322434,0.120035741275065,5.56196847515936e-06,7.35976895561056e-06,0.195144949490726,0.00746724117123268,0.00093775727710303,0.000214484430919347,0.392606312919127,0.842469682840203,1.19113255719635e-07,0.0198103229564052,6.28361305353549e-11,0.0129312836721222,0.132142936411824,0.802733647208755
"",0.00016109080388542,0.338651818142281,0.127098021700219,0.00684687191634517,0.92465832170736,0.0244378732687216,0.094819678224006,8.89497925519512e-09,0.0235821554902706,0.00830111276773467,0.666858781607689,9.73939840084048e-08,2.59029977552792e-05,0.0409591264089907,4.67795798111339e-05,0.00562272163520765,0.308576974652759,0.345925273560312,0.000154680813574295,0.00368777681952559,0.104892132772273,0.042895074339117,0.026942297491098,0.0115723007311764,0.992269126707997,0.979755325966031,0.0109375301848051,0.0294294558053026,6.91272776141757e-12,9.22783910334793e-09,0.176737024514488,0.409876549122433
"",0.00235600564197548,0.366006410950407,0.000136649236750214,0.00990530646000767,0.777475217894108,0.0888039674656818,0.00327800658608168,0.0238573779257381,0.360056734210059,9.65406385497847e-08,0.424043163146195,0.742964023546887,3.28721649958062e-07,0.0256095138969925,2.24758730766819e-05,0.0986902303966364,0.00186217322821633,0.0175462996062448,8.90364422171572e-05,0.00100842559878014,0.0142840513883309,0.595249172318873,0.000230284435565579,0.000131064520155368,0.155409679541815,0.0957209524890988,5.90969303424931e-06,0.00831873276543939,NA,0.503988086940787,5.32266529990289e-05,0.00635547296047463
"",0.328519745228559,6.10850783719594e-07,9.36965825065466e-05,0.843387386670287,3.33436704950299e-11,0.00899243717741794,0.00211588031665678,1.98839559849406e-05,0.0328612760726514,6.44926663510907e-06,7.95527859809432e-12,0.0278884334828492,0.037499136198251,0.000442949301820089,0.0598101442616724,0.000262039558796939,0.719674079580296,0.0597318342854323,5.1562114907531e-05,0.0167012650424362,0.418499730834651,0.000135006986944634,0.000158496800452538,0.00404252108227093,0.0545594030473268,4.85826926643205e-08,6.13912726693634e-07,1.24552111908043e-09,7.03462211282212e-05,8.17817404717868e-07,2.63024109679673e-05,0.278664794322344
"",0.929984332263847,0.0437756425693497,0.0650746920945233,0.603127944309943,0.272415568470057,0.531772532018269,NA,0.244585486078958,0.0541394232291162,NA,0.323373907414874,NA,0.861381038057116,0.305379083972267,0.877085248303014,0.453513820187679,0.582654896812279,NA,0.824942258125828,0.694466953791833,NA,NA,0.512444840898698,0.490009886866255,0.722976879148609,NA,0.032093811088605,0.688825202280496,0.773455095720911,0.00421387315741498,0.91604935320682,0.242925458733228
"",0.951873248368469,2.82537206945696e-06,NA,1.34282592933756e-05,NA,NA,NA,NA,NA,NA,NA,0.00514144892438572,NA,NA,0.169826863177923,NA,NA,NA,NA,0.00466533657655101,NA,NA,NA,1.0597275761553e-07,NA,NA,NA,NA,NA,NA,NA,NA
"",0.145390409105372,0.0395289392590809,0.185866527837504,0.56046637064183,5.95050827515165e-05,0.886797113183353,NA,0.728439189757787,0.00851608184714906,0.00125259155471431,1.13545512441226e-05,0.449864347167334,NA,0.989394430697595,NA,NA,0.769016564623843,0.30043207197202,0.256169045625779,NA,0.378456244619529,NA,0.642393852105963,0.785305670005501,0.00495190970660823,0.0811335449074696,0.84162479777799,NA,0.0744738657581354,0.0382682451600023,1.47192484525562e-06,0.0546375718147068
"",0.976968467719874,0.315524950605672,0.894634788566024,0.662129067684248,0.814832671541661,NA,0.000912544029299384,0.595656214586699,0.915409902543966,0.464869952926507,0.283113168358162,0.208483465075604,0.351330633615875,NA,0.957967687233818,0.942682380530282,0.00115711001378166,NA,0.901596171594333,NA,NA,NA,0.741728895869526,0.117624045926329,0.696968240568675,0.714321789777234,0.00270813889655619,NA,0.00368941503878223,0.0622398720724013,NA,0.235209911208752
"",NA,NA,0.953542462491503,NA,NA,NA,NA,0.686746720523918,0.632835149087965,NA,NA,NA,NA,NA,NA,NA,0.588521581424202,NA,NA,NA,NA,NA,NA,0.448528779970102,NA,NA,0.801688414174655,NA,NA,0.922788908873162,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.337834132689186,NA,NA,0.353797950020363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588521581424202,NA,NA,NA,NA,NA,0.404658782831551,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538242550398191,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34136277387707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,0.231580539901158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
