cid,MF,MW,Ncharges,C,H,N,O,Cl,P,S,F,Br,Pt,I,Gd,B,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
2284,C10H12ClNO2,213.66078,0,10,12,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,212.6559952,4.9752,12,2,1,1,1,0,0,0.285714286,14,0,0,66.072,25,1,0,0,1,0,0,1,2,0,0,25,0,0,0,0,67.77,7.901227383,0.980396935,7.05921265,12.07142857,5.777777778,126,134,6,26,26,1,15,3,2,2.5573,55.3182,213.66078,0,19,0,63.32
2351,C24H34N2O,366.53956,0,24,34,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,366.5489924,12.2255,36,2,1,1,0,0,1,0.344827586,29,1,0,149.7539,61,0,0,0,0,0,0,2,1,0,0,63,0,0,0,0,16.91,14.50138378,1.062931081,12.64282599,21.70273484,11.86997809,322,333,12,61,63,0,37,3,0,4.7681,118.988,366.53956,0,51,0,15.71
2366,C8H12N2,136.19428,0,8,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,136.1979976,3.9046,13,1,1,0,0,0,1,0.3,10,1,0,55.4661,22,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,29.5,7.132489013,1.017445412,6.0101933,8.1,4.760330579,106,100,6,22,22,0,14,2,1,1.2344,41.6187,136.19428,0,16,0,24.92
2369,C18H29NO3,307.42776,0,18,29,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,1,307.4339935,9.3288,32,3,2,1,0,1,1,0.47826087,23,0,0,121.0589,51,0,0,0,0,0,0,1,3,0,0,52,0,0,0,0,55.3,16.87475365,0.974234204,16.32104414,18.34026465,9.988109394,267,272,6,51,52,0,33,4,2,2.7843,88.9045,307.42776,0,46,0,50.72
2370,C7H17N2O2,161.22208,1,7,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,161.2249972,5.3139,20,3,1,0,0,0,1,0.4,10,0,0,60.2992,28,0,0,0,0,0,0,2,2,0,0,27,0,0,0,0,52.32,6.456974825,1.014277395,5.366083734,11,4.132653061,135,122,0,28,27,1,20,3,1,0.8767,42.5188,161.22208,0,26,0,52.32
2375,C18H14F4N2O4S,430.3733728,0,18,14,2,4,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,2,430.3789909,5.94488,20,6,2,2,0,1,0,0.233333333,30,0,0,108.9002,43,4,0,0,0,0,4,2,4,0,1,44,0,0,0,2,115.64,11.75942634,0.978025486,11.02363999,25.26222222,9.646502836,222,252,12,43,44,3,20,6,2,4.03338,93.8585,430.3733728,4,28,1,115.64
2405,C18H31NO4,325.44304,0,18,31,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,1,325.4489931,9.7524,35,4,2,1,0,1,1,0.52173913,23,0,0,126.3719,54,0,0,0,0,0,0,1,4,0,0,54,0,0,0,0,64.53,15.86690723,0.973968195,15.29099113,21.04347826,12.375,271,256,6,54,54,0,36,5,2,2.7568,92.1035,325.44304,0,48,0,59.95
2435,C11H10BrN5,292.1346,0,11,10,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,292.1399958,3.8498,15,5,2,2,0,0,2,0.105263158,19,2,0,75.8832,27,1,0,1,0,0,0,5,0,0,0,29,0,0,0,0,62.2,10.94967984,1.007179395,9.871628126,12.05540166,5.325443787,144,159,11,27,29,1,15,5,2,1.6008,77.7714,292.1346,0,17,0,62.2
2441,C14H10BrN3O,316.1527,0,14,10,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,316.1579945,3.9467,14,4,1,1,0,0,0,0.047619048,21,2,0,81.7408,29,1,0,1,0,0,0,3,1,0,0,31,0,0,0,0,54.35,9.542458025,1.011696306,8.43213687,13.95918367,6.18549346,152,170,12,29,31,2,14,4,1,2.2072,83.5347,316.1527,0,17,0,54.35
2471,C17H20N2O5S,364.4161,0,17,20,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,363.4149941,8.4296,25,7,2,2,1,0,0,0.307692308,26,0,0,112.4962,44,0,0,0,0,0,0,2,5,0,1,45,0,0,0,2,129.93,11.73703988,0.977612848,11.00581591,21.30177515,9.796296296,226,239,12,45,46,3,27,7,3,4.8906,94.6384,364.4161,0,31,0,127.1
