DrugBankID,Type,inRepurposeDB,approved,logP calculated ALOGPS,logS calculated ALOGPS,Molecular Weight calculated ChemAxon,Monoisotopic Weight calculated ChemAxon,Polar Surface Area (PSA) calculated ChemAxon,Refractivity calculated ChemAxon,Polarizability calculated ChemAxon,Rotatable Bond Count calculated ChemAxon,H Bond Acceptor Count calculated ChemAxon,H Bond Donor Count calculated ChemAxon,pKa (strongest acidic) calculated ChemAxon,pKa (strongest basic) calculated ChemAxon,Physiological Charge calculated ChemAxon,Number of Rings calculated ChemAxon,
6918296,small molecule,FALSE,Y,5.45,-5.8,528.5297,528.2211474,58.2,127.9,50.13,4,2,2,12.56,2.17,0,5,T
6918365,small molecule,FALSE,Y,2.44,-4.4,534.4267,534.150188,75.19,116.93,45.56,8,5,2,9.65,3.51,0,4,T
6918456,small molecule,FALSE,Y,3.67,-5.2,373.441,373.1147924,46.61,96.81,37.7,6,3,0,14.25,5.48,0,4,T
6918537,small molecule,FALSE,Y,1.12,-2.2,303.3993,303.1946771,76.36,82,33.17,3,4,2,14.71,9.03,1,4,T
6918554,small molecule,FALSE,Y,3.31,-4.7,392.4907,392.2099928,81.59,118.1,44.96,6,4,4,8.51,9.71,1,4,T
6918558,small molecule,FALSE,Y,5.45,-5.3,411.5769,411.2773441,49.77,124.08,48.29,11,3,1,14.98,10.64,1,2,T
6918670,small molecule,FALSE,Y,2.49,-3.2,430.5339,430.2355388,104.06,117.86,,4,5,3,12.09,-2.8,0,4,T
9552079,small molecule,TRUE,Y,2.71,-4.3,505.447,504.2031964,167.58,181.71,54.6,9,10,10,,10.52,4,2,T
9571107,small molecule,FALSE,Y,-0.82,-3.3,389.3809,389.1499324,121.35,99.74,39.3,5,9,2,5.53,9.53,0,4,T
9854073,small molecule,FALSE,Y,3.69,-5.3,835.9324,835.3779055,202.45,213.4,86.39,15,10,3,11.97,-3.6,0,6,T
9854489,small molecule,FALSE,Y,3.73,-4.1,538.576,538.163694,93.81,130.08,51.55,6,4,1,13.56,-3.4,0,5,T
9865528,small molecule,FALSE,Y,2.2,-5,396.506,396.1619967,100.27,113.23,44.2,9,5,4,13.84,9.62,1,3,T
9868491,small molecule,FALSE,Y,4.46,-4.9,452.5313,452.2374306,75.99,120.59,48.65,13,4,2,14.51,-2.9,0,2,T
9869929,small molecule,FALSE,Y,2.42,-4.2,483.951,483.1785654,125.39,131.75,50.87,9,9,3,12.53,5.54,0,4,T
9871419,small molecule,FALSE,Y,2.31,-3.9,522.568,522.1860805,138.44,142.13,51.27,10,9,4,12.94,2.93,0,5,T
